Zip,Lon,Lat,State,Pop
02905,-71.403235,41.788016,RI,25840
02906,-71.396412,41.83501,RI,29020
02907,-71.423716,41.801189,RI,27580
02908,-71.437171,41.837953,RI,34760
02909,-71.448581,41.817121,RI,43610
02910,-71.4378,41.776707,RI,21130
02911,-71.472602,41.853368,RI,16780
02914,-71.367715,41.814153,RI,21160
02915,-71.354034,41.77193,RI,17230
02916,-71.355677,41.843031,RI,9390
02917,-71.52032,41.897767,RI,13740
02919,-71.49913,41.826346,RI,28880
02920,-71.465118,41.772784,RI,38480
02921,-71.509198,41.765622,RI,12090
03031,-71.605223,42.856259,NH,11730
03032,-71.34089,42.990462,NH,5420
03033,-71.666753,42.741659,NH,5260
03034,-71.307837,43.06021,NH,4290
03036,-71.240156,42.970137,NH,4990
03037,-71.25627,43.137695,NH,4490
03038,-71.299102,42.887393,NH,34480
03042,-71.079509,43.045435,NH,7120
03043,-71.818819,42.992698,NH,1650
03044,-71.123223,42.986553,NH,4660
03045,-71.556193,43.015268,NH,14840
03046,-71.60653,43.103506,NH,2900
03047,-71.871414,42.942578,NH,1830
03048,-71.780721,42.749864,NH,3570
03049,-71.575503,42.747446,NH,8060
03051,-71.415324,42.765335,NH,25170
03052,-71.45279,42.845966,NH,8470
03053,-71.379259,42.86787,NH,25340
03054,-71.511798,42.863384,NH,26020
03055,-71.662127,42.826699,NH,15500
03057,-71.681789,42.899749,NH,2680
03060,-71.462983,42.746069,NH,30290
03062,-71.489316,42.722509,NH,28250
03063,-71.512149,42.774012,NH,16410
03064,-71.472089,42.774588,NH,14420
03070,-71.677996,42.98229,NH,5570
03071,-71.869402,42.750571,NH,5490
03076,-71.321161,42.733796,NH,13530
03077,-71.192008,43.029995,NH,10590
03079,-71.217092,42.786797,NH,29830
03082,-71.771774,42.895945,NH,1710
03084,-71.850797,42.817793,NH,1420
03086,-71.754969,42.835245,NH,3770
03087,-71.305651,42.806856,NH,14560
03101,-71.463738,42.991191,NH,3300
03102,-71.486366,42.998032,NH,31250
03103,-71.448615,42.9703,NH,37990
03104,-71.445351,43.005796,NH,33040
03106,-71.441621,43.061109,NH,14040
03109,-71.407344,42.965716,NH,10280
03110,-71.52233,42.940701,NH,22220
03215,-71.504913,43.952428,NH,240
03216,-71.790545,43.442835,NH,2440
03217,-71.627296,43.7143,NH,2080
03218,-71.283792,43.336648,NH,1200
03220,-71.476777,43.470039,NH,7800
03221,-71.957704,43.267535,NH,2160
03222,-71.752025,43.610967,NH,5470
03223,-71.679038,43.902191,NH,3450
03224,-71.548751,43.347847,NH,2310
03225,-71.238203,43.370151,NH,3630
03226,-71.505121,43.703512,NH,1070
03227,-71.428317,43.81196,NH,1020
03229,-71.695336,43.206512,NH,5780
03230,-71.864821,43.522459,NH,1210
03234,-71.349793,43.216565,NH,4630
03235,-71.650128,43.445937,NH,8650
03237,-71.395474,43.423695,NH,2530
03240,-71.965203,43.574113,NH,1320
03241,-71.808471,43.702148,NH,1020
03242,-71.815833,43.178774,NH,4930
03243,-71.732699,43.526819,NH,1110
03244,-71.904557,43.117809,NH,8550
03245,-71.608085,43.771124,NH,1850
03246,-71.474762,43.569532,NH,16050
03249,-71.399919,43.552723,NH,7270
03251,-71.667145,44.057214,NH,1650
03253,-71.503102,43.64344,NH,6720
03254,-71.390451,43.71872,NH,4460
03255,-72.013434,43.321464,NH,2130
03256,-71.619543,43.634182,NH,2190
03257,-71.985606,43.413229,NH,4750
03258,-71.405485,43.253095,NH,2490
03259,-71.385342,43.856537,NH,300
03261,-71.207015,43.211729,NH,4750
